,0,1,2,3,4,5,6,7,8,9,10,11
0,1688515200000,30756.10,30875.20,30175.80,30488.40,294896.578,1688601599999,8991870910.78812,2593078,142172.294,4334972733.45975,0
1,1688601600000,30488.40,31568.00,29818.00,29874.40,721267.219,1688687999999,22070224345.63387,5400645,352481.399,10791706209.59854,0
2,1688688000000,29874.30,30100.00,29680.00,30075.30,61190.131,1688774399999,1830854531.65154,496002,30540.858,914081408.27334,0
